id,title,start,end,tags,className,allDay
3998,People Management - Staff and Volunteers,2017-11-28 09:00:00,2017-11-28 16:00:00,"0,2,0,0,49,0,58,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0",,False
3999,People Management - Staff and Volunteers,2017-11-28 09:00:00,2017-11-28 16:00:00,"0,2,0,0,49,0,58,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0",,False
4000,Digital Media and Marketing Strategies,2017-10-10 09:00:00,2017-10-10 16:00:00,"0,2,0,0,49,0,58,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0",,False
4001,Creating Content and Expanding your Network,2017-10-24 09:00:00,2017-10-24 16:00:00,"0,2,0,0,0,58,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0",,False
4002,Digital Management,2017-11-07 09:00:00,2017-11-07 16:00:00,"0,2,0,0,49,0,58,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0",,False
4003,Fundamentals of Project Management,2017-11-21 09:00:00,2017-11-21 16:00:00,"0,2,0,0,49,0,58,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0",,False
4004,Fundamentals of Cybersecurity,2017-11-15 09:00:00,2017-11-15 16:00:00,"0,2,0,0,49,0,58,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0",,False
4005,Fundamentals of Leadership,2018-01-25 09:00:00,2018-01-25 16:00:00,"0,2,0,0,49,0,58,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0",,False
4006,Strategic Management,2018-02-08 09:00:00,2018-02-08 16:00:00,"0,2,0,0,49,0,58,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0",,False
4007,Management Excellence,2018-02-22 09:00:00,2018-02-22 16:00:00,"0,2,0,0,49,0,58,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0",,False
4008,Performance Management,2018-03-08 09:00:00,2018-03-08 16:00:00,"0,2,0,0,49,0,58,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0",,False
4009,Change Management,2018-03-22 09:00:00,2018-03-22 16:00:00,"0,2,0,0,49,0,58,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0",,False
